host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,summary_sent,description_sent,property_type_Bed & Breakfast,property_type_Boat,property_type_Bungalow,property_type_Cabin,property_type_Camper/RV,property_type_Chalet,property_type_Condominium,property_type_Dorm,property_type_House,property_type_Loft,property_type_Other,property_type_Tent,property_type_Townhouse,property_type_Treehouse,property_type_Yurt,room_type_Private room,room_type_Shared room,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed
100.0,100.0,0.0,10.0,1.0,1.0,1,1.0,1.0,2.0,75.0,100.0,150.0,3,18.0,1,1125,30,363,5,9.0,10.0,10.0,10.0,10.0,10.0,0,0,0.37916666666666665,0.16779761904761906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
90.0,100.0,0.0,1.0,1.0,0.0,1,1.0,1.0,1.0,65.0,100.0,15.0,1,19.0,1,365,13,348,353,10.0,10.0,10.0,9.0,9.0,9.0,1,0,0.20185185185185184,0.12727272727272732,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,4.0,1.0,1.0,1,1.0,1.0,1.0,60.0,95.0,35.0,1,15.0,3,90,17,166,37,9.0,9.0,10.0,10.0,9.0,9.0,0,0,0.3,0.2534313725490196,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,165.0,350.0,100.0,4,60.0,3,180,25,237,20,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.2777777777777778,0.304512987012987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97.0,100.0,0.0,7.0,1.0,1.0,1,1.5,1.0,1.0,97.0,250.0,40.0,1,0.0,1,90,30,365,59,10.0,9.0,10.0,10.0,10.0,10.0,0,0,0.1761904761904762,0.2593198468198469,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
97.0,100.0,0.0,7.0,1.0,1.0,1,3.5,3.0,3.0,250.0,300.0,250.0,4,14.0,7,120,0,308,41,10.0,9.0,10.0,10.0,10.0,10.0,0,0,0.17321428571428574,0.26309974747474746,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,86.0,100.0,20.0,2,20.0,2,14,20,20,287,10.0,10.0,10.0,10.0,9.0,10.0,1,0,0.4222222222222223,0.2842559523809524,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,0.0,1,1.0,2.0,3.0,75.0,100.0,50.0,2,20.0,1,30,26,361,76,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0.14619047619047618,0.10473484848484849,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
94.0,100.0,0.0,34.0,1.0,1.0,1,1.0,1.0,2.0,187.0,100.0,96.0,1,0.0,2,365,18,163,6,10.0,10.0,10.0,10.0,9.0,10.0,1,1,-0.09,0.19450757575757577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,0.0,1,1.0,1.0,1.0,89.0,100.0,50.0,2,0.0,2,14,28,164,125,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.7333333333333334,0.33088212956634017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
